Unique ID,Batch ID,Recipe Name,Batch Start Time,Batch End Time,Duration,Dosing Accuracy,Production Line,ASA-D to Melt Tank (kg),NaOH to Melt Tank (kg),EDTA to Hold Tank (kg),EHDP to Hold Tank (kg),Betaine (kg),AOS (kg),Soap to Mixer (kg),Brine (kg),Mixture TO Mixer (kg),FC AITD (kg),FC Water (kg),DPG Dosage (kg),"Melt Temp, (max) (ｰC)",NaOH %CV (average),Average Naoh flow rate (kg/min),Batch time [min],Rework Used (kg),Average Mixture flow rate,F/C temperature,F/C temperature (Max) (ｰC),Mixture Pump speed (average) (%),Mixture Source,Total Preps Charge Time,F/C Time,Dry Time (after Mixture-Transfer to),Total mixer cycle time,Temp after FC (ｰC) (after Steam Out),Temp at end of mix time (ｰC),Temp at drop (ｰC),Mixture mixer agitator speed,Amps at end of mix time ,Load after FC (Amps) (after Steam Out),Mixer Water Addition,Mixer Air Flow In Average,Glycol Outlet Temp (ｰC),Roll Speed (RPM),Glycol Flow  (mｳ/h),Glycol Valve Output (%),Free fatty acid,Active,Approved,Speed (rpm)+D56,Average Head Pressure (bar),Color L,Color A,Color B,pH,Moisture
11,A2-03,Recipe_A,2018-06-07 00:41:00,2018-06-07 03:42:00,181.23,3.61,LINE_2,488.0,37.72,1.69,1.37,324.58,,344.99,,3056.75,210.4,181.2,,118.21,56.83,3.87,65.87,351.0,99.98,138.61,198.73,39.72,A2_STRIPPER_OUT,10.0,30.57,12.63,80.28,119.91,117.99,118.46,85.0,123.32,,,,,-2.18,4.56,33.71,,27.11,YES,,,5.36,92.19,-1070.0,4.729,4.97
12,A2-04,Recipe_A,2018-06-07 01:47:00,2018-06-07 05:03:00,196.72,1.12,LINE_2,488.5,37.65,2.0,1.36,322.62,,344.99,,3225.25,216.4,180.4,,118.03,51.47,3.68,69.07,351.0,127.17,172.44,213.39,46.3,A2_STRIPPER_OUT,9.62,25.4,13.07,67.78,127.27,124.24,124.73,85.0,143.71,,,,,-5.26,4.56,33.96,,27.22,YES,,,4.61,91.14,0.94,4.862,7.09
13,A2-05,Recipe_A,2018-06-07 02:56:00,2018-06-07 07:26:00,269.8,1.63,LINE_2,489.5,37.67,1.93,1.37,325.38,,345.06,,3078.6,211.6,181.2,,117.58,47.28,3.44,83.23,348.0,83.83,182.44,214.75,26.94,A2_STRIPPER_OUT,9.67,36.77,12.63,76.27,122.41,122.22,122.39,85.0,128.12,,,,,-5.41,4.56,33.93,,27.66,YES,,,4.81,89.74,-1050.0,4.851,7.07
14,A2-06,Recipe_A,2018-06-07 04:19:00,2018-06-07 08:32:00,252.52,1.83,LINE_2,493.0,37.68,1.9,1.36,328.63,,345.06,,2971.4,214.4,181.7,,117.68,50.04,3.3,133.42,352.0,130.24,184.97,205.54,47.36,A2_STRIPPER_OUT,9.58,22.87,12.8,59.65,119.48,120.11,120.05,85.0,121.06,,,,,0.99,4.56,33.65,,27.12,YES,,,5.06,90.49,-1020.0,4.85,6.92
15,A2-07,Recipe_A,2018-06-07 06:32:00,2018-06-07 10:22:00,229.53,1.93,LINE_2,488.5,37.65,1.88,1.36,325.25,,345.18,,3049.55,210.6,181.0,,117.59,47.97,3.37,82.7,350.0,111.95,173.53,213.87,36.27,A2_STRIPPER_OUT,9.58,27.42,12.67,64.53,123.09,122.08,122.49,85.0,121.58,,,,,-1.72,4.56,33.51,,27.89,YES,,,5.53,90.18,0.97,4.8469999999999995,7.06
16,A2-08,Recipe_A,2018-06-07 07:55:00,2018-06-07 11:41:00,225.83,1.53,LINE_2,490.0,37.66,1.91,1.36,326.98,,344.99,,2831.15,206.2,181.4,,117.56,46.2,3.21,105.2,352.0,132.02,165.19,205.62,48.98,A2_STRIPPER_OUT,9.63,21.48,12.97,58.18,117.99,117.7,118.32,85.0,118.89,,,,,-1.16,4.56,33.5,,26.65,YES,,,5.21,91.22,-1110.0,4.838,6.97
17,A2-09,Recipe_A,2018-06-07 09:40:00,2018-06-07 13:25:00,224.48,1.82,LINE_2,491.0,37.67,1.9,1.36,330.52,,345.18,,3061.95,211.0,186.2,,117.34,54.67,3.71,85.32,352.0,123.16,177.51,208.27,42.76,A2_STRIPPER_OUT,9.72,24.92,13.0,61.87,119.05,118.09,118.64,85.0,120.33,,,,,-1.65,4.56,33.47,,27.15,YES,,,5.24,90.14,-1600.0,4.872,6.99
18,A2-10,Recipe_A,2018-06-07 11:06:00,2018-06-07 14:43:00,217.08,1.48,LINE_2,493.0,37.66,1.94,1.36,325.38,,344.93,,3212.0,220.6,181.1,,118.07,49.92,3.36,99.85,352.5,100.59,179.58,213.15,37.11,A2_STRIPPER_OUT,9.78,31.95,12.58,74.9,123.47,123.13,123.48,85.0,126.01,,,,,-1.54,4.56,33.44,,27.63,YES,,,4.59,90.95,-1070.0,4.8580000000000005,6.9
19,A2-11,Recipe_A,2018-06-07 12:46:00,2018-06-07 16:15:00,209.48,1.53,LINE_2,492.0,37.7,1.92,1.36,328.1,,345.24,,2928.7,202.2,179.5,,118.1,49.39,3.19,68.83,352.0,223.71,165.77,191.36,,Buffer,9.6,13.08,12.32,51.25,122.22,121.21,121.99,85.0,118.99,,,,,-1.31,4.56,33.49,,27.34,YES,,,5.59,91.52,-1100.0,4.797,7.03
20,A2-12,Recipe_A,2018-06-07 13:54:00,2018-06-07 17:43:00,228.58,1.41,LINE_2,489.0,37.7,1.94,1.36,328.95,,344.93,,2929.85,202.2,180.3,,117.68,56.04,3.58,112.2,351.5,182.88,171.95,209.23,,Buffer,9.75,16.12,13.48,70.0,122.89,121.84,122.54,85.0,120.62,,,,,-1.59,4.56,33.48,,27.39,YES,,,4.43,92.09,0.84,4.896,6.94
21,A2-13,Recipe_A,2018-06-07 15:47:00,2018-06-07 19:40:00,233.6,1.59,LINE_2,491.5,37.72,1.92,1.36,328.32,,345.12,,2934.25,202.2,179.9,,117.93,50.12,3.59,69.5,349.5,230.2,163.83,190.56,,Buffer,9.6,12.97,13.9,63.2,122.51,121.84,122.43,85.0,121.5,,,,,-5.08,4.56,30.91,,27.31,YES,,,4.3,90.26,-1100.0,4.928,6.94
22,A2-14,Recipe_A,2018-06-07 16:56:00,2018-06-07 21:52:00,295.93,1.66,LINE_2,494.0,37.71,1.92,1.36,325.5,,344.87,,2930.9,202.2,180.1,,117.97,50.97,3.73,123.47,348.5,198.07,162.3,212.27,,Buffer,9.68,14.82,12.3,66.32,122.51,122.08,121.9,85.0,123.86,,,,,-4.86,4.56,31.02,,27.43,YES,,,5.1,90.34,-1300.0,4.968,6.92
23,A2-15,Recipe_A,2018-06-07 19:00:00,2018-06-08 00:04:00,304.13,1.24,LINE_2,487.5,37.71,1.97,1.36,328.3,,345.12,,2935.45,202.6,179.3,,117.91,50.51,3.68,128.73,350.0,188.67,180.49,210.99,,Buffer,16.6,15.53,12.33,59.3,122.22,121.69,122.56,85.0,124.4,,,,,-5.13,4.56,31.07,,27.65,YES,,,4.97,90.59,-1080.0,4.878,7.03
24,A2-02,Recipe_A,2018-06-07 22:02:00,2018-06-08 02:10:00,247.65,1.7,LINE_2,489.5,37.74,1.93,1.36,332.63,,344.93,,2932.4,202.4,179.3,,117.61,50.68,3.54,91.38,345.5,228.4,167.95,189.04,,Buffer,9.72,12.85,12.35,53.57,121.45,120.59,121.02,85.0,121.77,,,,,-3.79,4.56,30.91,,26.44,YES,,,5.18,90.31,-1120.0,4.82,6.04
25,A2-03,Recipe_A,2018-06-07 23:34:00,2018-06-08 03:29:00,234.87,1.57,LINE_2,490.0,37.75,1.93,1.36,330.53,,344.99,,2935.5,202.2,179.4,,117.8,51.15,3.84,125.08,350.0,229.1,158.69,173.42,,Buffer,9.63,12.83,12.4,49.42,120.97,121.45,121.68,85.0,118.89,,,,,-5.63,4.56,31.15,,26.9,YES,,,4.97,90.74,0.95,4.837,7.0
26,A2-04,Recipe_A,2018-06-08 01:39:00,2018-06-08 04:29:00,170.28,1.19,LINE_2,493.5,37.72,1.99,1.36,329.88,,344.99,,2933.4,202.2,179.5,,117.9,74.84,3.02,83.05,352.0,225.48,160.18,193.53,,Buffer,9.73,13.02,12.48,49.48,122.51,121.88,121.78,85.0,123.29,,,,,-5.5,4.56,31.16,,26.93,YES,,,5.09,90.62,-1200.0,4.8260000000000005,6.95
27,A2-05,Recipe_A,2018-06-08 03:02:00,2018-06-08 05:38:00,156.48,1.46,LINE_2,496.5,37.66,1.97,1.36,329.8,,344.93,,2934.1,202.4,179.8,,117.95,48.05,3.54,68.32,352.0,230.03,167.59,187.76,,Buffer,9.87,12.75,12.68,58.27,121.79,120.68,121.43,85.0,121.2,,,,,-5.13,4.56,31.13,,26.83,YES,,,5.43,90.79,-1160.0,4.821000000000001,5.67
28,A2-06,Recipe_A,2018-06-08 04:10:00,2018-06-08 07:12:00,182.17,1.17,LINE_2,491.5,37.68,1.97,1.36,327.82,,344.99,,2931.75,202.2,179.3,,117.19,48.14,3.29,69.9,350.0,188.56,176.16,201.22,,Buffer,9.52,15.55,12.93,53.75,123.37,121.79,122.87,85.0,122.06,,,,,-5.96,4.56,31.09,,28.13,YES,,,4.78,90.99,0.73,4.857,6.97
29,A2-07,Recipe_A,2018-06-08 05:20:00,2018-06-08 09:44:00,264.03,2.79,LINE_2,435.5,37.67,1.99,1.36,325.92,,344.93,,2931.75,202.2,179.8,,117.83,35.36,1.29,124.93,351.0,152.29,167.5,212.27,,Buffer,9.3,19.28,12.92,57.17,122.08,121.36,122.14,85.0,122.1,,,,,-4.38,4.56,31.07,,27.41,YES,,,5.15,91.07,0.98,4.827,5.51
30,A2-08,Recipe_A,2018-06-08 09:13:00,2018-06-08 10:59:00,106.27,1.36,LINE_2,486.5,37.72,1.98,1.36,331.8,,344.81,,2934.55,202.2,179.9,,119.63,32.96,2.36,53.23,-2.5,226.98,166.55,179.83,,Buffer,9.57,12.97,13.18,50.83,121.26,119.77,120.2,85.0,117.84,,,,,-4.36,4.56,31.1,,26.7,YES,,,4.72,90.87,-1140.0,4.978,5.51
31,A2-09,Recipe_A,2018-06-08 10:06:00,2018-06-08 12:16:00,129.62,0.71,LINE_2,489.5,37.71,2.02,1.36,327.8,,344.81,,2929.15,202.2,179.9,,118.05,47.18,3.26,49.6,-2.0,167.27,174.8,209.71,,Buffer,8.5,17.53,13.27,56.15,120.44,119.29,120.42,85.0,115.84,,,,,-4.53,4.56,31.05,,26.88,YES,,,5.07,90.34,-1070.0,4.97,7.0
32,A2-10,Recipe_A,2018-06-08 10:56:00,2018-06-08 13:42:00,166.23,0.94,LINE_2,486.5,37.69,2.0,1.36,326.38,,344.87,,2933.9,202.6,180.0,,118.89,47.01,3.18,49.4,14.5,224.88,170.08,199.21,,Buffer,8.47,13.13,14.35,50.48,121.55,120.15,120.69,85.0,117.03,,,,,-4.52,4.56,31.08,,26.86,YES,,,5.01,91.1,-1180.0,4.971,6.96
33,A2-11,Recipe_A,2018-06-08 11:45:00,2018-06-08 14:56:00,191.07,1.05,LINE_2,488.0,37.69,1.99,1.36,326.05,,344.99,,2932.75,202.2,179.2,,119.33,48.67,3.35,85.38,-1.5,192.49,170.4,207.95,,Buffer,8.55,15.27,12.97,51.68,120.39,119.58,120.08,85.0,117.01,,,,,-4.71,4.56,31.15,,26.03,YES,,,4.62,91.74,-1160.0,4.933,7.01
34,A2-12,Recipe_A,2018-06-08 13:10:00,2018-06-08 16:23:00,192.18,0.95,LINE_2,486.0,37.69,2.01,1.36,325.53,,345.06,,2928.55,202.2,179.3,,117.9,46.81,3.21,76.6,349.0,156.67,184.39,211.71,,Buffer,9.57,18.7,14.42,56.95,123.23,122.03,122.12,85.0,124.57,,,,,-4.52,4.56,31.38,,26.8,YES,,,4.94,91.98,-1030.0,4.8389999999999995,7.41
35,A2-13,Recipe_A,2018-06-08 14:27:00,2018-06-08 17:37:00,190.43,1.0,LINE_2,490.0,37.69,1.99,1.36,325.52,,345.06,,2934.05,202.4,179.5,,117.4,50.0,3.58,82.42,347.5,223.53,167.65,188.72,,Buffer,9.63,13.12,13.07,51.63,122.94,122.03,121.56,85.0,124.1,,,,,-4.18,4.56,31.48,,27.07,YES,,,5.05,91.43,0.88,4.783,6.94
36,A2-14,Recipe_A,2018-06-08 15:49:00,2018-06-08 19:16:00,206.48,0.88,LINE_2,489.5,37.71,2.02,1.36,322.92,,344.99,,2934.7,202.2,179.5,,117.82,50.33,3.51,80.12,350.0,224.46,159.04,190.64,,Buffer,9.55,13.07,12.37,54.5,122.94,121.79,123.2,85.0,122.79,,,,,-4.92,4.56,31.82,,27.42,YES,,,4.98,91.73,0.92,4.817,7.11
37,A2-15,Recipe_A,2018-06-08 18:39:00,2018-06-08 20:50:00,131.17,0.48,LINE_2,490.0,37.72,2.05,1.36,325.35,,344.99,,2933.8,202.4,179.7,,117.32,50.53,3.45,70.85,348.5,190.29,170.55,214.03,,Buffer,12.72,15.47,12.65,55.82,122.22,122.22,122.86,85.0,124.42,,,,,-4.81,4.56,32.01,,27.73,YES,,,4.74,92.95,-1010.0,4.876,7.35
38,A2-16,Recipe_A,2018-06-08 19:50:00,2018-06-08 22:29:00,158.55,0.56,LINE_2,488.0,37.65,2.06,1.36,329.37,,344.99,,2933.85,202.8,179.6,,117.3,64.64,3.18,70.82,351.5,226.44,159.92,181.59,,Buffer,10.27,12.97,12.35,57.18,122.27,122.08,122.77,85.0,123.29,,,,,-4.51,4.56,32.04,,27.84,YES,,,4.52,91.06,-1090.0,4.893,7.06
39,A2-01,Recipe_A,2018-06-08 21:01:00,2018-06-09 00:34:00,213.18,0.56,LINE_2,490.5,37.66,2.05,1.36,324.0,,344.93,,2932.8,202.2,179.4,,117.47,45.16,3.03,72.03,348.0,227.01,171.27,197.69,,Buffer,9.68,12.98,12.3,53.05,122.27,121.4,121.99,85.0,122.76,,,,,-4.76,4.56,32.18,,27.9,YES,,,4.95,91.39,-1020.0,4.893,6.97
40,A2-03,Recipe_A,2018-06-08 22:13:00,2018-06-09 02:33:00,260.48,0.75,LINE_2,491.0,37.72,2.04,1.36,330.73,,344.81,,2932.8,202.2,179.3,,117.93,64.42,3.31,111.75,347.0,227.41,168.99,193.21,,Buffer,9.7,13.0,12.37,61.85,122.51,121.93,122.29,85.0,122.5,,,,,-4.74,4.56,32.16,,27.85,YES,,,4.59,91.59,-1160.0,4.871,6.98
41,A2-04,Recipe_A,2018-06-09 00:16:00,2018-06-09 03:26:00,189.77,0.5,LINE_2,489.5,37.69,2.06,1.36,330.28,,344.87,,,,,,118.18,97.16,3.03,101.23,349.5,175.48,150.18,180.95,,Buffer,9.88,16.7,12.35,52.38,121.6,120.01,120.97,85.0,120.23,,,,,-4.35,4.56,32.25,,27.53,YES,,,4.8,92.38,-1010.0,4.895,7.32
42,A2-05,Recipe_A,2018-06-09 01:58:00,2018-06-09 13:35:00,697.55,0.67,LINE_2,492.0,37.68,2.04,1.36,324.77,,344.87,,2931.8,202.2,179.7,,117.35,46.13,2.88,73.38,348.5,196.19,154.8,200.34,,Buffer,12.7,15.05,12.38,53.52,120.35,120.15,120.69,85.0,126.0,,,,,-4.06,4.56,36.09,,27.02,NO,,,5.06,89.13,-1230.0,4.887,6.93
43,A2-06,Recipe_A,2018-06-09 03:11:00,2018-06-09 15:00:00,708.9,0.32,LINE_2,490.0,37.72,2.07,1.36,326.08,,345.06,,2933.7,202.4,179.5,,119.0,46.45,2.87,596.03,349.5,225.85,166.01,195.85,,Buffer,9.62,12.98,12.37,51.1,123.13,122.6,122.82,85.0,125.71,,,,,-5.43,4.56,36.1,,27.24,NO,,,5.59,89.87,-1270.0,4.806,6.94
44,A2-07,Recipe_A,2018-06-09 13:07:00,2018-06-09 16:35:00,208.05,0.84,LINE_2,494.5,37.71,2.03,1.36,324.4,,345.18,,2925.6,203.2,197.0,,117.87,45.95,3.27,84.63,350.5,154.03,141.4,191.53,,Buffer,10.02,19.0,12.53,69.35,117.94,117.56,118.3,85.0,128.81,,,,,-1.94,4.56,35.73,,27.92,YES,,,5.28,90.47,-1657.0,4.773,6.98
45,A2-08,Recipe_A,2018-06-09 14:32:00,2018-06-09 18:10:00,218.33,0.3,LINE_2,488.5,37.68,2.1,1.36,323.4,,345.31,,2934.85,204.2,184.0,,118.12,63.71,3.44,77.58,350.5,152.48,180.55,209.55,,Buffer,9.7,19.27,13.62,64.97,120.3,119.53,119.7,85.0,123.35,,,,,-5.34,4.56,36.17,,27.39,YES,,,5.35,90.17,0.78,4.758,6.99
46,A2-09,Recipe_A,2018-06-09 16:00:00,2018-06-09 20:00:00,239.93,0.41,LINE_2,490.0,37.67,2.06,1.36,325.4,,345.24,,2931.75,203.4,190.2,,118.36,45.86,3.02,88.33,351.0,185.19,168.41,207.71,,Buffer,9.6,15.82,12.35,67.17,119.96,119.67,120.58,85.0,119.17,,,,,-4.79,4.56,36.39,,27.69,YES,,,4.44,89.93,-1000.0,4.853,7.04
47,A2-10,Recipe_A,2018-06-09 17:28:00,2018-06-09 21:21:00,232.63,0.29,LINE_2,492.0,37.68,2.09,1.36,325.18,,345.12,,2924.35,202.4,180.5,,118.04,45.54,3.11,107.17,349.5,147.58,159.86,202.1,,Buffer,9.68,19.82,12.37,79.58,121.79,121.16,122.59,85.0,119.08,,,,,-5.69,4.56,36.61,,27.91,YES,,,4.44,89.93,-1000.0,4.855,7.1
48,A2-01,Recipe_A,2018-06-09 19:27:00,2018-06-09 22:59:00,211.73,0.41,LINE_2,486.5,37.68,2.11,1.36,329.97,,345.62,,2927.75,202.2,179.3,,117.72,46.43,3.29,68.27,351.5,149.25,177.9,209.07,,Buffer,9.63,19.62,12.35,56.27,121.88,120.97,121.57,85.0,122.14,,,,,-2.0,4.56,36.32,,27.92,YES,,,4.99,90.64,-1100.0,4.897,6.97
49,A2-11,Recipe_A,2018-06-09 21:40:00,2018-06-09 23:51:00,130.58,0.27,LINE_2,490.0,37.73,2.08,1.36,328.53,,345.56,,2923.4,202.2,184.6,,117.49,46.42,3.3,69.23,349.5,187.85,153.57,181.11,,Buffer,9.7,15.57,12.32,51.17,120.39,118.86,119.5,85.0,118.67,,,,,-2.23,4.56,36.3,,27.27,YES,,,4.91,90.88,-1040.0,4.893,5.51
50,A2-03,Recipe_A,2018-06-09 22:50:00,2018-06-10 01:16:00,146.35,0.29,LINE_2,491.5,37.68,2.11,1.36,329.78,,345.06,,2931.9,202.2,179.5,,117.49,46.51,3.08,69.35,351.5,225.46,159.58,176.79,,Buffer,13.05,13.02,12.73,59.17,121.93,121.79,122.28,85.0,123.28,,,,,0.72,4.56,36.4,,27.24,YES,,,5.57,91.63,0.89,4.789,7.08
51,A2-04,Recipe_A,2018-06-09 23:59:00,2018-06-10 02:10:00,130.68,0.42,LINE_2,488.5,37.73,2.07,1.36,329.02,,345.12,,2922.7,202.4,179.4,,117.64,64.4,3.34,68.72,351.5,177.84,166.08,198.57,,Buffer,9.57,16.45,12.53,51.8,120.78,120.3,120.85,85.0,121.38,,,,,-2.13,4.56,36.6,,27.18,YES,,,5.18,90.03,0.62,4.7860000000000005,7.06
52,A2-05,Recipe_A,2018-06-10 01:08:00,2018-06-10 03:59:00,171.15,0.42,LINE_2,489.0,37.67,2.14,1.36,326.43,,344.99,,2941.25,202.4,180.5,,117.83,46.35,3.14,68.85,349.5,136.13,173.09,208.59,,Buffer,9.7,21.68,12.37,57.63,121.79,120.87,121.44,85.0,121.15,,,,,-2.16,4.56,36.3,,27.86,YES,,,5.03,89.28,0.93,4.861000000000001,7.01
53,A2-06,Recipe_A,2018-06-10 02:16:00,2018-06-10 05:25:00,188.23,0.25,LINE_2,489.5,37.73,2.12,1.36,325.45,,344.81,,2931.55,202.2,180.0,,117.91,44.98,3.01,69.43,351.5,228.05,160.44,174.46,,Buffer,9.77,12.92,12.37,60.07,121.07,121.31,121.69,85.0,123.46,,,,,-5.08,4.56,36.6,,27.46,YES,,,4.84,91.21,-1090.0,4.9110000000000005,6.98
54,A2-07,Recipe_A,2018-06-10 03:32:00,2018-06-10 06:28:00,176.85,0.4,LINE_2,488.0,37.67,2.07,1.36,325.15,,344.99,,2923.05,202.2,179.2,,117.2,45.74,3.01,76.37,351.0,171.15,153.24,185.84,,Buffer,9.73,17.1,12.48,57.5,120.11,118.62,119.33,85.0,118.32,,,,,0.77,4.56,36.41,,27.0,YES,,,5.98,90.48,-1120.0,4.7669999999999995,7.47
55,A2-08,Recipe_A,2018-06-10 04:48:00,2018-06-10 08:20:00,211.72,0.28,LINE_2,491.0,37.69,2.07,1.36,327.28,,344.93,,2928.55,202.6,179.5,,117.56,46.72,3.1,68.13,350.0,226.22,157.99,179.67,,Buffer,9.63,12.95,13.03,49.78,121.12,121.21,121.47,85.0,119.08,,,,,-1.96,4.56,36.36,,27.15,YES,,,5.38,90.85,-1080.0,4.925,6.97
56,A2-09,Recipe_A,2018-06-10 05:56:00,2018-06-10 09:28:00,211.5,0.34,LINE_2,488.5,37.69,2.12,1.36,324.95,,344.81,,2945.25,202.2,184.9,,118.17,45.84,3.03,117.12,350.5,177.68,159.41,183.43,,Buffer,9.77,16.62,12.35,62.02,120.78,119.38,120.35,85.0,120.43,,,,,-1.92,4.56,36.29,,27.03,YES,,,4.5,91.08,0.79,4.8469999999999995,6.96
57,A2-10,Recipe_A,2018-06-10 08:05:00,2018-06-10 10:55:00,169.3,0.24,LINE_2,490.0,37.69,2.07,1.36,326.48,,345.06,,2932.75,202.2,180.5,,118.01,44.91,2.97,71.42,349.0,225.43,176.76,196.49,,Buffer,9.85,13.0,12.37,53.85,121.88,120.68,121.24,85.0,119.93,,,,,-1.32,4.56,36.09,,27.01,YES,,,5.69,91.36,0.94,4.77,6.95
58,A2-11,Recipe_A,2018-06-10 09:17:00,2018-06-10 12:32:00,195.6,0.48,LINE_2,492.0,37.66,2.07,1.36,330.28,,344.87,,2930.45,202.2,179.4,,117.63,49.38,2.7,80.95,351.0,159.56,169.92,209.95,,Buffer,9.73,18.38,12.92,64.18,120.78,119.58,120.38,85.0,119.99,,,,,-1.61,4.56,33.77,,27.7,YES,,,5.58,91.4,0.98,4.756,7.02
